,/lpc/f71858/voltage/0,/lpc/f71858/voltage/1,/lpc/f71858/voltage/2,/lpc/f71858/temperature/0,/lpc/f71858/temperature/1,/lpc/f71858/temperature/2,/lpc/f71858/fan/0,/lpc/f71858/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/temperature/0,/hdd/2/load/0
Time,"VCC3V","VSB3V","Battery","Temperature #1","Temperature #2","Temperature #3","CPU Fan","Case Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Used Space","Temperature","Used Space","Temperature","Used Space"
04/24/2016 17:45:08,3.29600024,3.29600024,3.24800014,37.375,39.25,57.5,1236.60352,952.381,2.3317337,2.34375,0.78125,2.34375,1.95012093,53,52,50,49,1197.08044,1197.08044,1197.08044,1197.08044,133.008942,27.97747,4.465214,11.4948235,43.5000038,1616,30,500,1250,1.0200001,13,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:09,3.29600024,3.31200027,3.24800014,37.375,39.25,57.625,1236.60352,958.466431,0.7692337,3.834498,0.7692337,0.7692337,1.53554678,53,52,50,46,1197.08142,1197.08142,1197.08142,1197.08142,133.009033,27.9778976,4.46528244,11.4947548,42.5000038,1616,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:10,3.28000021,3.29600024,3.24800014,37.5,39.875,57.375,1238.64575,959.6929,13.8461533,13.8461533,11.5384579,10.76923,12.5,63,56,53,53,2926.19873,2926.19873,2926.19873,2926.19873,133.009033,28.1197968,4.4879303,11.4721069,43.5000038,1611,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:11,3.29600024,3.31200027,3.24800014,37.125,41.125,57.375,1238.64575,959.6929,19.2191124,15.3846149,13.0769253,19.23077,16.7278519,56,53,51,51,1596.10791,1596.10791,2926.198,2926.198,133.009,28.2480011,4.50839233,11.4516449,43.0000038,1604,30,250,150,0.900000036,7,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:12,3.29600024,3.31200027,3.24800014,37.375,43,57.25,1276.5957,952.381,10.76923,7.69230747,7.69230747,9.230768,8.846158,58,53,50,50,2793.19,2793.19,2793.19,2793.19,133.009048,28.0907135,4.483288,11.4767494,43.0000038,1602,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:13,3.29600024,3.31200027,3.24800014,37.5,42.875,57.5,1263.69,962.1552,10.76923,7.69230747,6.92307949,6.153846,7.884616,55,53,50,50,1197.08081,1197.08081,1197.08081,1197.08081,133.008972,28.1390457,4.491001,11.4690361,43.0000038,1605,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:14,3.29600024,3.29600024,3.24800014,37.375,41.75,57.25,1287.55359,964.630249,4.615384,5.384612,3.8461566,11.5384579,6.346154,54,54,50,52,1197.081,1197.081,1197.081,1197.081,133.009,28.1833725,4.49807739,11.46196,42.5000038,1612,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:15,3.29600024,3.31200027,3.24800014,37.375,42,57.375,1238.64575,960.9225,12.3076916,8.473557,7.69230747,11.5268049,10.0000916,53,51,50,50,1197.08167,1197.08167,1197.08167,1197.08167,133.009064,27.9511032,4.461006,11.4990311,43.0000038,1613,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:16,3.29600024,3.31200027,3.24800014,37.375,40.75,57.125,1236.60352,959.6929,1.53846145,4.60373163,3.8461566,3.8461566,3.458619,53,52,50,48,1197.08057,1197.08057,1197.08057,1197.08057,133.008957,27.9264145,4.45706558,11.5029716,43.0000038,1618,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
04/24/2016 17:45:17,3.29600024,3.29600024,3.24800014,37.375,40.75,57.375,1238.64575,952.381,10.76923,3.8461566,7.69230747,9.230768,7.8846097,54,54,52,51,1197.08118,1197.08118,1197.08118,1197.08118,133.009018,27.97596,4.46497345,11.4950638,42.5000038,1612,30,250,150,0.900000036,0,34,38.630703,33,55.77459,31,66.037796
